No,House Type,Address,Township,District,Bed Room,Single Room,Lat/Long,Price (THB)/Per Month,Map Location,Remark
1,Villa,"101 Moo 10, Chiang Mai",Omkoi,Nong Han,3,2,"18.625578, 98.856854",7975,"https://www.google.com/maps?q=18.625578,98.856854",Investment opportunity
2,Townhouse,"102 Moo 5, Chiang Mai",Chom Thong,San Na Meng,4,1,"18.844624, 98.897621",10825,"https://www.google.com/maps?q=18.844624,98.897621",New listing
3,Detached,"103 Moo 4, Chiang Mai",Chom Thong,Nong Han,1,3,"18.768777, 99.072142",11278,"https://www.google.com/maps?q=18.768777,99.072142",Near market
4,Townhouse,"104 Moo 10, Chiang Mai",Mueang,Mae Faek,2,2,"18.667432, 98.8251",6702,"https://www.google.com/maps?q=18.667432,98.8251",Fully furnished
5,Townhouse,"105 Moo 5, Chiang Mai",San Sai,San Sai Luang,1,2,"18.994365, 98.901514",8555,"https://www.google.com/maps?q=18.994365,98.901514",Quiet area
6,Bungalow,"106 Moo 3, Chiang Mai",Mae Ai,San Na Meng,4,3,"18.969745, 98.834614",11662,"https://www.google.com/maps?q=18.969745,98.834614",Near school
7,Condo,"107 Moo 1, Chiang Mai",Mae Ai,San Sai Luang,1,2,"18.930091, 98.893753",9011,"https://www.google.com/maps?q=18.930091,98.893753",Investment opportunity
8,Townhouse,"108 Moo 5, Chiang Mai",Mueang,Mae Faek,3,1,"18.606569, 98.904086",7781,"https://www.google.com/maps?q=18.606569,98.904086",Near school
9,Bungalow,"109 Moo 6, Chiang Mai",Mae Taeng,San Sai Luang,5,1,"18.706948, 98.883614",8355,"https://www.google.com/maps?q=18.706948,98.883614",Near school
10,Townhouse,"110 Moo 1, Chiang Mai",San Sai,San Na Meng,5,3,"18.933338, 99.068211",11186,"https://www.google.com/maps?q=18.933338,99.068211",Renovated
11,Condo,"111 Moo 5, Chiang Mai",Omkoi,San Sai Luang,5,1,"18.949425, 98.988587",12174,"https://www.google.com/maps?q=18.949425,98.988587",Price negotiable
12,Villa,"112 Moo 2, Chiang Mai",San Sai,Nong Han,1,3,"18.830516, 99.018243",7848,"https://www.google.com/maps?q=18.830516,99.018243",Near school
13,Townhouse,"113 Moo 7, Chiang Mai",Doi Lo,San Sai Luang,3,3,"18.979446, 98.971641",8236,"https://www.google.com/maps?q=18.979446,98.971641",Price negotiable
14,Apartment,"114 Moo 3, Chiang Mai",Omkoi,Nong Han,4,2,"18.673586, 98.860017",10988,"https://www.google.com/maps?q=18.673586,98.860017",Urgent sale
15,Villa,"115 Moo 3, Chiang Mai",Mueang,San Na Meng,1,3,"18.6685, 99.07413",8327,"https://www.google.com/maps?q=18.6685,99.07413",Near market
16,Detached,"116 Moo 5, Chiang Mai",Mae On,San Sai Luang,2,1,"18.936858, 98.867439",7323,"https://www.google.com/maps?q=18.936858,98.867439",Near school
17,Detached,"117 Moo 7, Chiang Mai",Mae Ai,San Sai Luang,1,3,"18.734424, 98.827379",8315,"https://www.google.com/maps?q=18.734424,98.827379",Near school
18,Condo,"118 Moo 9, Chiang Mai",Doi Saket,Mae Faek,2,1,"18.878197, 98.922204",10215,"https://www.google.com/maps?q=18.878197,98.922204",Near market
19,Condo,"119 Moo 7, Chiang Mai",Hang Dong,Nong Han,5,3,"18.606064, 98.926077",12350,"https://www.google.com/maps?q=18.606064,98.926077",Fully furnished
20,Detached,"120 Moo 2, Chiang Mai",Mae On,San Sai Luang,3,2,"18.779165, 98.847161",11660,"https://www.google.com/maps?q=18.779165,98.847161",New listing
21,Detached,"121 Moo 1, Chiang Mai",Mae Taeng,San Na Meng,1,1,"18.713273, 98.863998",7341,"https://www.google.com/maps?q=18.713273,98.863998",Near school
22,Townhouse,"122 Moo 2, Chiang Mai",Mae Ai,San Sai Luang,1,1,"18.972907, 99.01152",7559,"https://www.google.com/maps?q=18.972907,99.01152",Near market
23,Condo,"123 Moo 2, Chiang Mai",Mae Chaem,San Sai Luang,3,2,"18.699669, 99.032942",8372,"https://www.google.com/maps?q=18.699669,99.032942",Near school
24,Apartment,"124 Moo 10, Chiang Mai",Phrao,Nong Han,3,3,"18.825792, 99.081013",6872,"https://www.google.com/maps?q=18.825792,99.081013",Quiet area
25,Villa,"125 Moo 2, Chiang Mai",Doi Tao,San Na Meng,5,2,"18.626698, 99.07056",12504,"https://www.google.com/maps?q=18.626698,99.07056",Near market
26,Condo,"126 Moo 5, Chiang Mai",Doi Tao,San Na Meng,1,3,"18.82871, 98.949975",8760,"https://www.google.com/maps?q=18.82871,98.949975",Great view
27,Villa,"127 Moo 3, Chiang Mai",Mueang,Nong Han,4,3,"18.787021, 98.92462",10216,"https://www.google.com/maps?q=18.787021,98.92462",Great view
28,Condo,"128 Moo 9, Chiang Mai",Doi Lo,Nong Han,5,2,"18.780723, 98.997549",6682,"https://www.google.com/maps?q=18.780723,98.997549",Great view
29,Apartment,"129 Moo 5, Chiang Mai",Phrao,Nong Han,1,2,"18.652876, 99.019387",11438,"https://www.google.com/maps?q=18.652876,99.019387",Near market
30,Detached,"130 Moo 3, Chiang Mai",Chom Thong,Mae Faek,1,3,"18.769799, 98.984561",12601,"https://www.google.com/maps?q=18.769799,98.984561",Investment opportunity
31,Bungalow,"131 Moo 3, Chiang Mai",Mueang,Mae Faek,2,3,"18.715468, 99.001499",11982,"https://www.google.com/maps?q=18.715468,99.001499",Urgent sale
32,Villa,"132 Moo 10, Chiang Mai",Mae Chaem,Mae Faek,4,2,"18.984523, 98.881671",10845,"https://www.google.com/maps?q=18.984523,98.881671",Price negotiable
33,Detached,"133 Moo 7, Chiang Mai",Omkoi,San Na Meng,5,3,"18.996646, 98.82327",11494,"https://www.google.com/maps?q=18.996646,98.82327",Investment opportunity
34,Condo,"134 Moo 2, Chiang Mai",Chom Thong,Nong Han,1,1,"18.766612, 98.959952",7057,"https://www.google.com/maps?q=18.766612,98.959952",Investment opportunity
35,Condo,"135 Moo 10, Chiang Mai",Mae Taeng,San Na Meng,4,3,"18.614934, 98.865416",10179,"https://www.google.com/maps?q=18.614934,98.865416",Price negotiable
36,Bungalow,"136 Moo 1, Chiang Mai",Mae Wang,Nong Han,5,1,"18.814517, 98.888984",12088,"https://www.google.com/maps?q=18.814517,98.888984",Quiet area
37,Townhouse,"137 Moo 1, Chiang Mai",Hot,San Sai Luang,4,1,"18.805188, 98.814789",12580,"https://www.google.com/maps?q=18.805188,98.814789",Renovated
38,Detached,"138 Moo 8, Chiang Mai",Saraphi,San Na Meng,4,1,"18.997236, 98.874194",12331,"https://www.google.com/maps?q=18.997236,98.874194",Near school
39,Bungalow,"139 Moo 4, Chiang Mai",Hang Dong,San Na Meng,4,3,"18.929447, 99.077411",6708,"https://www.google.com/maps?q=18.929447,99.077411",Near market
40,Bungalow,"140 Moo 2, Chiang Mai",Mae Ai,Mae Faek,2,1,"18.682404, 98.940283",10939,"https://www.google.com/maps?q=18.682404,98.940283",New listing
41,Villa,"141 Moo 9, Chiang Mai",Saraphi,San Na Meng,3,3,"18.942077, 99.009989",9212,"https://www.google.com/maps?q=18.942077,99.009989",New listing
42,Detached,"142 Moo 4, Chiang Mai",Mae Chaem,San Sai Luang,1,1,"18.920428, 98.94043",8255,"https://www.google.com/maps?q=18.920428,98.94043",Near market
43,Condo,"143 Moo 2, Chiang Mai",Omkoi,San Sai Luang,4,2,"18.657349, 98.853502",9182,"https://www.google.com/maps?q=18.657349,98.853502",Renovated
44,Bungalow,"144 Moo 4, Chiang Mai",Mae Rim,Mae Faek,3,2,"18.695745, 98.804222",9051,"https://www.google.com/maps?q=18.695745,98.804222",Price negotiable
45,Bungalow,"145 Moo 7, Chiang Mai",Doi Saket,Nong Han,3,3,"18.990286, 98.863474",9200,"https://www.google.com/maps?q=18.990286,98.863474",Urgent sale
46,Bungalow,"146 Moo 7, Chiang Mai",Mae On,San Na Meng,1,1,"18.888375, 98.840563",11232,"https://www.google.com/maps?q=18.888375,98.840563",Near market
47,Condo,"147 Moo 2, Chiang Mai",Doi Tao,Mae Faek,5,1,"18.79187, 98.964317",8189,"https://www.google.com/maps?q=18.79187,98.964317",New listing
48,Condo,"148 Moo 6, Chiang Mai",Wiang Haeng,San Na Meng,4,2,"18.91387, 98.907189",8941,"https://www.google.com/maps?q=18.91387,98.907189",Fully furnished
49,Condo,"149 Moo 8, Chiang Mai",Mae On,Nong Han,2,3,"18.72618, 98.857067",9479,"https://www.google.com/maps?q=18.72618,98.857067",Great view
50,Villa,"150 Moo 3, Chiang Mai",Wiang Haeng,San Na Meng,5,2,"18.62619, 99.01714",10359,"https://www.google.com/maps?q=18.62619,99.01714",Renovated
51,Apartment,"151 Moo 5, Chiang Mai",San Sai,San Na Meng,1,2,"18.968177, 99.010813",12480,"https://www.google.com/maps?q=18.968177,99.010813",New listing
