WBS,Task Description,Plan Start Date,Plan Finish Date,Task Status,Completed(%),Task Type,Resources,Link Url
1,"Project Initiation, Docs & Functional Lists",5-Jun-25,5-Jun-25,Done,100,Requirement,"MG, JAMES",
1.1,Database Design,5-Jun-25,5-Jun-25,Done,100,Design,MG,
1.2,High Level Design,6-Jun-25,6-Jun-25,Done,100,Design,MG,
1.3,Detail Design (Database & Functional Lists),6-Jun-25,6-Jun-25,Done,100,Design,MG,
2,Workflow & System Architecture Design,7-Jun-25,9-Jun-25,In Progress,50,Design,MG,
2.1,Flow Chart,7-Jun-25,7-Jun-25,Planned,0,Design,MG,
2.2,Architecture Design,8-Jun-25,8-Jun-25,Planned,0,Design,MG,
2.3,Laravel Init + GitHub Setup,9-Jun-25,9-Jun-25,Planned,0,Implementation,MG,
3,Student Registration & Management Functions,10-Jun-25,13-Jun-25,Planned,0,Development,MG,
3.1,Create Student -> User -> Group,10-Jun-25,13-Jun-25,Planned,0,Development,MG,
3.2,Student Listing,11-Jun-25,14-Jun-25,Planned,0,Development,MG,
3.3,"Pagination, Sorting, Search, Export",12-Jun-25,15-Jun-25,Planned,0,Development,MG,
4,Teacher Management Functions,13-Jun-25,16-Jun-25,Planned,0,Development,MG,
4.1,Create Teacher -> User -> Group,16-Jun-25,19-Jun-25,Planned,0,Development,MG,
4.2,Teacher Listing + Filtering,16-Jun-25,19-Jun-25,Planned,0,Development,MG,
5,"Guardian, Group & Attendance Modules",16-Jun-25,19-Jun-25,Planned,0,Development,MG,
5.1,Guardian CRUD,17-Jun-25,20-Jun-25,Planned,0,Development,MG,
5.2,Group CRUD + Linking,18-Jun-25,21-Jun-25,Planned,0,Development,MG,
5.3,Attendance Marking + Reports,19-Jun-25,22-Jun-25,Planned,0,Development,MG,
6,"TimeTable, Activities & ReportCard",20-Jun-25,23-Jun-25,Planned,0,Development,MG,
6.1,TimeTable Setup,23-Jun-25,26-Jun-25,Planned,0,Development,MG,
6.2,School Activities CRUD,23-Jun-25,26-Jun-25,Planned,0,Development,MG,
6.3,ReportCard Management,23-Jun-25,26-Jun-25,Planned,0,Development,MG,
7,"Testing, Deployment & Final Handover",1-Jul-25,10-Jul-25,Planned,0,Testing,"MG, JAMES",
7.1,Unit Testing (PHPUnit),1-Jul-25,3-Jul-25,Planned,0,Testing,MG,
7.2,UAT & Bug Fixes,4-Jul-25,6-Jul-25,Planned,0,Testing,"MG, JAMES",
7.3,Prepare Docs + Deploy to Production,7-Jul-25,19-Jul-25,Planned,0,Deployment,MG,
7.4,Final Review & Client Handover,10-Jul-25,20-Jul-25,Planned,0,Support,"MG, JAMES",
