Code	Name	Description	Department	Course	Program	Size	Actual Size	Subjects	Size Of Students	Priority	Internal Publisher	Tags	Notes 1	Notes 2	Number of Students	Locked	Hours	
3001_01_IA25_T3_A/01	3001_01_IA25_T3_A/01	Diploma of Science (3001_01_IA25) Term 3 Students Life Science Planning Enrolments	UNSW College	DP	3001_01_IA25_T3_A	10	0	AELC1303_C_2025_KENS_DP_OC; BLSC1341_C_2025_KENS_DP_OC; BLSC1342_C_2025_KENS_DP_OC; CHMS1332_C_2025_KENS_DP_OC	1	High	false				0	false	Student - Standard Hours
3001_01_IA25_T3_A/02	3001_01_IA25_T3_A/02	Diploma of Science (3001_01_IA25) Term 3 Students Life Science Planning Enrolments	UNSW College	DP	3001_01_IA25_T3_A	6	0	AELC1303_C_2025_KENS_DP_OC; BLSC1341_C_2025_KENS_DP_OC; CHMS1332_C_2025_KENS_DP_OC; MTHS1314_C_2025_KENS_DP_OC	1	High	false				0	false	Student - Standard Hours
3001_01_IA25_T3_A/03	3001_01_IA25_T3_A/03	Diploma of Science (3001_01_IA25) Term 3 Students Life Science Planning Enrolments	UNSW College	DP	3001_01_IA25_T3_A	10	0	AELC1303_C_2025_KENS_DP_OC; BLSC1341_C_2025_KENS_DP_OC; BLSC1342_C_2025_KENS_DP_OC; CHMS1331_C_2025_KENS_DP_OC	1	High	false				0	false	Student - Standard Hours
3001_01_IA25_T3_A_FAIL/01	3001_01_IA25_T3_A_FAIL/01	Diploma of Science (3001_01_IA25) Term 3 Students Life Science failed T2 Subjects CAL2	UNSW College	DP	3001_01_IA25_T3_A_FAIL	1	0	AELC1302_C_2025_KENS_DP_OC; BLSC1342_C_2025_KENS_DP_OC; CHMS1332_C_2025_KENS_DP_OC	1	High	false				0	false	Student - Standard Hours
3001_01_IA25_T3_A_FAIL/02	3001_01_IA25_T3_A_FAIL/02	Diploma of Science (3001_01_IA25) Term 3 Students Life Science failed T2 Subjects CHMS1331	UNSW College	DP	3001_01_IA25_T3_A_FAIL	1	0	AELC1303_C_2025_KENS_DP_OC; BLSC1341_C_2025_KENS_DP_OC; BLSC1342_C_2025_KENS_DP_OC; CHMS1331_C_2025_KENS_DP_OC	1	High	false				0	false	Student - Standard Hours
3001_01_IA25_T3_A_FAIL/03	3001_01_IA25_T3_A_FAIL/03	Diploma of Science (3001_01_IA25) Term 3 Students Life Science failed T2 Subjects CHMS1331	UNSW College	DP	3001_01_IA25_T3_A_FAIL	1	0	AELC1303_C_2025_KENS_DP_OC; BLSC1342_C_2025_KENS_DP_OC; CHMS1331_C_2025_KENS_DP_OC; MTSC1361_C_2025_KENS_DP_OC	1	High	false				0	false	Student - Standard Hours
3001_01_IA25_T3_A_FAIL/04	3001_01_IA25_T3_A_FAIL/04	Diploma of Science (3001_01_IA25) Term 3 Students Life Science failed T2 Subjects BLSC1342	UNSW College	DP	3001_01_IA25_T3_A_FAIL	1	0	AELC1303_C_2025_KENS_DP_OC; BLSC1342_C_2025_KENS_DP_OC; CHMS1332_C_2025_KENS_DP_OC; MTSC1361_C_2025_KENS_DP_OC	1	High	false				0	false	Student - Standard Hours
3001_01_IA25_T3_M1_B/01	3001_01_IA25_T3_M1_B/01	Diploma of Science (3001_01_IA25) Term 3 Students Physical Science Fundamental Maths Stream Planning Enrolment	UNSW College	DP	3001_01_IA25_T3_M1_B	5	5	AELC1303_C_2025_KENS_DP_OC; CHMS1332_C_2025_KENS_DP_OC; MTHS1314_C_2025_KENS_DP_OC; MTSC1361_C_2025_KENS_DP_OC	1	High	false				5	false	Student - Standard Hours
3001_01_IA25_T3_M1_B/02	3001_01_IA25_T3_M1_B/02	Diploma of Science (3001_01_IA25) Term 3 Students Physical Science Fundamental Maths Stream Planning Enrolment	UNSW College	DP	3001_01_IA25_T3_M1_B	5	5	AELC1303_C_2025_KENS_DP_OC; CHMS1332_C_2025_KENS_DP_OC; MTHS1314_C_2025_KENS_DP_OC; PHSC1322_C_2025_KENS_DP_OC	1	High	false				5	false	Student - Standard Hours
3001_01_IA25_T3_M1_B/03	3001_01_IA25_T3_M1_B/03	Diploma of Science (3001_01_IA25) Term 3 Students Physical Science Fundamental Maths Stream Planning Enrolment	UNSW College	DP	3001_01_IA25_T3_M1_B	2	2	AELC1303_C_2025_KENS_DP_OC; MTHS1314_C_2025_KENS_DP_OC; MTSC1361_C_2025_KENS_DP_OC; PHSC1324_C_2025_KENS_DP_OC	1	High	false				2	false	Student - Standard Hours
